kvkNr,deptNr,name,sector,vatNr
95071224,67829205,Endicott Shoes,Transport,NL658194892B45,null
46247168,42176065,House of Gas,Handel en bankwezen,NL629240957B98,null
90913372,61794724,The Fox and Hound ,Transport,NL685869873B11,null
26749727,40799346,Red Robin Stores,Handel en bankwezen,NL607102978B03,null
67090626,93570076,Warner Brothers Studio Store,Handel en bankwezen,NL758176741B28,null
43588849,52637933,GEX,Akker- en tuinbouw,NL342027521B25,null
55546408,58843624,Matrix Architectural Service,Energie,NL871692815B86,null
38207746,49418071,Blockbuster Music,Energie,NL140607544B65,null
40711913,60658179,Realty Depot,Energie,NL920259243B97,null
85759236,67486242,Schaak Electronics,Toerisme,NL749286199B91,null
55651784,10884037,Consumers and Consumers Express,Handel en bankwezen,NL475975590B94,null
26541071,16567866,Source Club,Handel en bankwezen,NL720430221B86,null
39024703,19729117,Super Saver Foods,Akker- en tuinbouw,NL167493399B59,null
86780904,76693563,White Hen Pantry,Veeteelt,NL962768277B62,null
72395854,57430554,Silverwoods,Veeteelt,NL450817416B66,null
79067456,16015312,Best Products,Visserij,NL255442585B76,null
95405313,24128727,Office Warehouse,Veeteelt,NL875132176B59,null
91218178,85259624,Road Runner Lawn Services,Veeteelt,NL333824552B21,null
18454960,20723848,Sistemos,Handel en bankwezen,NL702691116B92,null
85376165,13298395,Dun Rite Lawn Care,Toerisme,NL193133227B66,null
75291081,16528208,County Market,Industrie,NL194820260B50,null
82302567,37109958,Farrell's Ice Cream Parlour,Industrie,NL476415446B41,null
99725216,91400558,Childrens Bargain Town,Visserij,NL358511708B28,null
51654261,90422459,LaBelle's,Toerisme,NL939058789B26,null
60382047,90060298,Keeney's,Energie,NL708782113B07,null
85362910,60991155,Grey Fade,Transport,NL919734246B15,null
20766458,85912859,Record Town,Handel en bankwezen,NL459900386B63,null
98610915,78598315,Record & Tape Outlet,Handel en bankwezen,NL473927677B37,null
58285815,65843385,Vibrant Man,Visserij,NL400020652B02,null
99474994,66606894,Sound Advice,Handel en bankwezen,NL856736093B54,null
58266254,71924430,Henry's,Industrie,NL152452908B55,null
48913300,84367934,Express Merchant Service,Toerisme,NL180945430B11,null
75805765,93866563,Crafts & More,Veeteelt,NL215126999B98,null
74115685,19989136,Success Is Yours,Energie,NL646612770B37,null
91414513,68442341,Affinity Investment Group,Veeteelt,NL742606897B37,null
13329140,41704086,Budget Power,Industrie,NL459808449B70,null
18391500,29634095,Movie Gallery,Veeteelt,NL296645922B74,null
50822987,17868645,Edge Garden Services,Handel en bankwezen,NL684830202B73,null
77343479,88090173,Bodega Club,Akker- en tuinbouw,NL543085621B16,null
16576666,89225532,Schucks Auto Supply,Industrie,NL708090692B88,null
82305635,10654879,Asian Fusion,Transport,NL720216687B63,null
79831049,64135606, floor,Handel en bankwezen,NL471144237B19,null
96388348,74872692,Exact Solutions,Veeteelt,NL228789240B99,null
26192336,45071720,Netcore,Toerisme,NL785240689B59,null
86524090,17020968,Kessel Food Market,Visserij,NL819851634B02,null
97549359,68029148,Destiny Planners,Veeteelt,NL974951018B50,null
93153474,69304372,Rolling Thunder,Energie,NL812165893B19,null
60405702,80301116,Locost Accessories,Industrie,NL515805000B50,null
30829347,27912818,Simply Appraisals,Veeteelt,NL253624306B01,null
98214597,75441194,Custom Lawn Care,Toerisme,NL735153939B66,null
56792624,36999457,Konsili,Energie,NL838892206B29,null
93601949,95188311,New World,Visserij,NL520780354B9,null
27787265,33383326,Eagle Food Centers,Toerisme,NL326634853B83,null
98639756,19241300,Franklin Simon,Energie,NL908054803B77,null
77797991,67243451,Pro-Care Garden Maintenance,Toerisme,NL122094380B03,null
33724570,40676786,Big D Supermarkets,Energie,NL346694697B93,null
95790443,34118130,WWW Realty,Industrie,NL475319513B17,null
70501420,42856931,Borders Books,Toerisme,NL554981091B47,null
80421385,21813985,Red Baron Electronics,Visserij,NL415113807B9,null
54410884,85653842,Architectural Genie,Handel en bankwezen,NL749563608B53,null
75036066,20821010,Compact Disc Center,Industrie,NL895628037B43,null
81437204,30140711,Hoyden,Toerisme,NL364369614B86,null
89313636,69267084,Childs Restaurants,Handel en bankwezen,NL868650639B49,null
30870088,26329505,Custom Sound,Handel en bankwezen,NL996345776B79,null
15872283,23559768,Dream Home Real Estate Service,Industrie,NL623585173B29,null
77731543,40472191,Mode O'Day,Transport,NL749807730B80,null
19301108,32181910,Great Western,Handel en bankwezen,NL326811076B13,null
29761301,12448474,Young @ Heart,Transport,NL905162126B89,null
78547776,18343713,CompuAdd,Visserij,NL606455319B61,null
80043972,79249610, forming,Transport,NL232953802B40,null
13074052,26123993,Father & Son,Toerisme,NL196470577B86,null
96602065,28949645,Kelly and Cohen,Akker- en tuinbouw,NL542455645B85,null
29627816,99810378,Del Farm,Transport,NL594360933B26,null
47636465,36738375,Coconut's,Industrie,NL646692811B72,null
58871598,54763274,Bugle Boy,Veeteelt,NL652697992B47,null
44746840,90260930,Stratabiz,Veeteelt,NL726414310B70,null
42511411,92321268,Zephyr Investments,Akker- en tuinbouw,NL486316693B99,null
67658116,84620902,Buttrey Food & Drug,Handel en bankwezen,NL813099000B51,null
75868290,46304750,Millenia Life,Toerisme,NL805032925B06,null
48118189,72114278,Hudson's MensWear,Veeteelt,NL810457863B93,null
86256446,73716684,Handy Dan,Transport,NL983576062B62,null
51413286,55723359,Trak Auto,Visserij,NL258704035B69,null
16743105,43389274,The Sample,Energie,NL800806966B83,null
98088434,16321745,Plunkett Home Furnishings,Toerisme,NL463841979B04,null
66726758,38274094,Pup 'N' Taco,Visserij,NL664354533B94,null
15811528,54493044,Coast to Coast Hardware,Transport,NL462010535B45,null
28927316,54974274,Musicland,Industrie,NL632450776B18,null
52000662,37369282,Nelson Brothers,Handel en bankwezen,NL766281146B96,null
62768884,84125038,Herman's World of Sporting Goods,Energie,NL472771616B06,null
69221862,60828290,Rainbow Bay Crafts,Transport,NL151642514B25,null
31593438,52761833, benefits,Visserij,NL604752112B28,null
93296789,14765142,Integra Wealth,Energie,NL908351770B29,null
66114439,80748977,Scott Ties,Transport,NL434533300B76,null
64078881,85798077,Hugh M. Woods,Visserij,NL221892827B37,null
27716083,90785656,Burstein-Applebee,Industrie,NL521467578B32,null
86558316,93956103,Golf Augusta Pro Shops,Akker- en tuinbouw,NL704776218B74,null
51000921,30099930,LoRay,Energie,NL332665247B90,null
75930613,34451177,Rainbow Records,Toerisme,NL754493002B04,null
96138443,56353711,Geri's Hamburgers,Transport,NL699050779B01,null
43164176,49898556,Parts America,Transport,NL688758303B86,null
34001170,58836584,Yardbirds Home Center,Veeteelt,NL716669548B43,null
40191336,22587373,A+ Investments,Veeteelt,NL523111827B04,null
92869743,32525780,Sagebrush,Energie,NL398988630B11,null
21089147,51380422,Central Hardware,Handel en bankwezen,NL968988454B10,null
88953005,34036794,Susie's Casuals,Handel en bankwezen,NL332346028B35,null
83755694,44260490,Target Source,Industrie,NL679838981B70,null
60738646,50940272,Suncoast Video,Handel en bankwezen,NL503242424B30,null
82481670,67913763,Big Apple,Industrie,NL585671121B97,null
86963633,20616767,Hollywood Video,Handel en bankwezen,NL169223815B02,null
69418340,12580408,Liberty Wealth Planner,Veeteelt,NL650019533B50,null
31390291,61859142,VitaGrey,Transport,NL600642275B58,null
83630665,82019575,American Wholesale Club,Handel en bankwezen,NL116829418B22,null
91599121,82619083,Rickel,Energie,NL473082630B25,null
32172984,63246692,Ernst Home Centers,Transport,NL373245246B31,null
21634229,59610947,Buena Vista Realty Service,Veeteelt,NL670408162B81,null
34246845,59453928,Gas Zone,Energie,NL589837096B9,null
33470151,30115495,Leo's Stereo,Visserij,NL999531443B38,null
95505649,44635262,Your Future Is Now,Energie,NL376715513B25,null
86762795,29524585,Twin Electronics,Transport,NL252084741B26,null
43852824,31431930,Coon Chicken Inn,Handel en bankwezen,NL868654927B41,null
30338580,10563226,Netstars Matrix Design,Akker- en tuinbouw,NL829667970B71,null
11969965,68753752,Maloley's Finer Foods,Visserij,NL273062379B22,null
82251516,82404885,Adaptas,Handel en bankwezen,NL316761378B68,null
49274419,50964200,Klopfenstein's,Handel en bankwezen,NL603684209B88,null
29614318,67803460,Mr Fables,Energie,NL236160181B9,null
41777839,34227899,Strategy Consulting,Visserij,NL982189605B21,null
36823839,68742551,Landskip Yard Care,Toerisme,NL665745617B49,null
13049476,34133634,Pro Star,Industrie,NL493136446B73,null
83464029,68354306,Adaptaz,Handel en bankwezen,NL261778504B01,null
10526829,93516361,Infinite Wealth,Transport,NL827767807B76,null
34333181,36709956, receiving,Akker- en tuinbouw,NL744669508B27,null
28598473,29942131,Sambo's,Veeteelt,NL540216410B59,null
90447173,72386320,Alert Alarm Company,Handel en bankwezen,NL862717881B39,null
58707860,71985881,Funtown toys,Veeteelt,NL359678255B62,null
57427385,44753182,The Polka Dot Bear Tavern,Handel en bankwezen,NL164339702B60,null
76102369,85480204,Integra Investment Plan,Visserij,NL849324929B92,null
45675706,54108936,Alladin's Lamp,Akker- en tuinbouw,NL168340390B26,null
16852157,73315970,Helios Air,Energie,NL479308744B06,null
61696860,25143626,Good Times,Energie,NL510114377B50,null
63651751,65518638,Monlinks,Akker- en tuinbouw,NL107284598B15,null
95133769,98491845,Magik Grey,Visserij,NL749197236B71,null
51708512,50174349,Jack Lang,Transport,NL363735226B76,null
81900413,84902206,Murray's Discount Auto Stores,Industrie,NL712244594B28,null
55659647,69442870,Crazy Tiger,Visserij,NL473225756B86,null
10121825,45483127,J. B. Van Sciver,Industrie,NL251774411B14,null
74914918,26653632,Steve's Ice Cream,Visserij,NL445504496B74,null
48248755,86799777,Chargepal,Akker- en tuinbouw,NL390533457B10,null
26981251,93057698,Waccamaw's Homeplace,Veeteelt,NL944655730B59,null
58500439,28804918,Wickes Furniture,Industrie,NL855204046B24,null
13458928,53857165,John M. Smyth's Homemakers,Transport,NL909387074B91,null
64313604,50530664,Solution Realty,Visserij,NL112952870B13,null
52079086,10360032,Bloom Brothers Furniture,Industrie,NL645585814B37,null
65217671,10408151,SoundTrack,Energie,NL963506208B45,null
33835189,26027520,Hit or Miss,Industrie,NL765161882B56,null
53386959,40070225,Cellophane Square,Toerisme,NL429515677B01,null
75872549,70293653,Naturohair,Energie,NL573460112B53,null
10309126,63516430,JumboSports,Toerisme,NL211522118B24,null
57240002,60815341,Warehouse Club,Transport,NL397236417B12,null
90161417,54249053,National Hardgoods Distributors,Akker- en tuinbouw,NL337088081B58,null
44715283,72487330,Ardan's,Transport,NL110298670B08,null
33303808,47458903,Stratapro,Toerisme,NL218359901B34,null
64406928,66491231,Liberal,Industrie,NL839238163B02,null
78376216,28114957,Wherehouse Music,Energie,NL351747759B08,null
62820204,29175508,Bumper to Bumper Auto Parts,Veeteelt,NL489421702B68,null
24228731,67327111,Kleinhans,Energie,NL279573378B42,null
87485382,73570635,Quickbiz,Visserij,NL435376570B65,null
11934034,84849866,Macroserve,Toerisme,NL800111703B49,null
24811635,15452060,Tradewell,Visserij,NL232659264B70,null
28713570,72825695,Creative Wealth,Veeteelt,NL762596532B51,null
94806352,76728072,De Pinna,Visserij,NL160956304B66,null
80038972,63439025,Manu Connection,Visserij,NL554239191B72,null
25168225,20233980,Miller & Rhoads,Handel en bankwezen,NL406511576B75,null
79413461,66415373,China Coast,Industrie,NL152753774B39,null
72727474,27971378,Western Auto,Energie,NL814828093B18,null
38805416,75700143,Brand Names,Transport,NL504946670B97,null
61114548,26063154,Lum's,Veeteelt,NL125938003B96,null
34536497,37857450,Dave Cooks,Transport,NL424421793B61,null
71628913,34269534, grinding,Akker- en tuinbouw,NL633280978B48,null
63940359,31053533,Forest City,Industrie,NL182109469B97,null
38497664,58885698,Bettendorf's,Veeteelt,NL626596704B23,null
27623620,27522717,Music Boutique,Energie,NL232597253B92,null
73174469,97742747,Tam's Stationers,Energie,NL301386137B04,null
25277957,86193869,Total Network Development,Akker- en tuinbouw,NL952132120B46,null
24369835,84708440,CSK Auto,Toerisme,NL122561879B91,null
45167425,98548284,Century House,Energie,NL590181572B88,null
95625941,99776651,Solution Answers,Industrie,NL555506009B69,null
74993500,83607106,Asiatic Solutions,Visserij,NL948527063B27,null
93997800,37292607,Body Toning,Energie,NL774121822B82,null
44925843,33608062,Grade A Investment,Veeteelt,NL715033493B89,null
35598145,47593303,Flipside Records,Akker- en tuinbouw,NL159250655B17,null
38236119,78198010,Micro Design,Akker- en tuinbouw,NL308432388B04,null
21393403,41869924,Dubrow's Cafeteria,Visserij,NL940396525B47,null
36493982,53034514,Total Yard Maintenance,Transport,NL879264924B51,null
97703969,58753203,Future Bright,Energie,NL690821779B80,null
57977184,80228102,Saturday Matinee,Energie,NL993547734B90,null
27149862,90208260,Allied Radio,Energie,NL955127069B61,null
78685944,86686199,Chess King,Veeteelt,NL412840398B67,null
39716340,53630687,Gamble-Skogmo,Energie,NL592829890B60,null
83243454,72995439,Parts and Pieces,Handel en bankwezen,NL495728802B42,null
25191790,36342950,Heilig-Meyers,Toerisme,NL419712282B51,null
46056816,13141965,Plan Future,Handel en bankwezen,NL120561767B34,null
34597739,55562871,On Cue,Handel en bankwezen,NL324865490B75,null
49194780,45990267,Levitz Furniture,Handel en bankwezen,NL333480696B98,null
36960867,40645683,Vari-Tec,Transport,NL811769984B11,null
61767079,60112981,Integra Wealth Planners,Veeteelt,NL900505115B67,null
74899506,60934464,Afforda Merchant Services,Industrie,NL741796013B51,null
41682584,51078381,Garden Guru,Transport,NL558178980B24,null
34764573,94382097,Lindsley's Lumber,Industrie,NL550605293B58,null
81383740,86950933,Omni Architectural Designs,Akker- en tuinbouw,NL936314671B91,null
56333433,83906696,University Stereo,Visserij,NL832179679B50,null
56529876,76938076,Magik Gray,Industrie,NL373395120B28,null
86512712,80412696,Bountiful Harvest Health Food Store,Akker- en tuinbouw,NL110787901B86,null
59813358,81701193,Waccamaw Pottery,Handel en bankwezen,NL407036011B22,null
67728476,67104444,National Auto Parts,Veeteelt,NL996053492B21,null
84121895,76939533,Gas Depot,Akker- en tuinbouw,NL908675839B49,null
58132246,69602385,Odyssey Records & Tapes,Energie,NL156418723B32,null
21828133,27410230,Steve & Barry's,Energie,NL802782913B9,null
42499369,98340806,Lazysize,Industrie,NL227184536B35,null
72354526,12860188,H. J. Wilson & Company,Akker- en tuinbouw,NL866981375B25,null
36267522,29556841,Buehler Foods,Industrie,NL342341213B36,null
67214281,78286656,Idea Infinity,Industrie,NL266483801B88,null
63252783,71256711,Licorice Pizza,Veeteelt,NL679178860B73,null
72331793,22764983,Adapt,Transport,NL656233538B23,null
38117438,22213343,Oranges Records & Tapes,Akker- en tuinbouw,NL830311640B02,null
20358229,38102821,Liberty Wealth Planners,Handel en bankwezen,NL407049891B45,null
17028634,47364834,Robinson Furniture,Energie,NL860785486B93,null
50402885,21922352,Omni Superstore,Visserij,NL378370833B24,null
93474138,53344900,HouseWorks!,Visserij,NL812958034B14,null
35666756,45281492,Egghead Software,Handel en bankwezen,NL862041503B10,null
18767087,46287188,Envirotecture Design Service,Energie,NL355079463B77,null
60098714,92520407,Furrow's,Handel en bankwezen,NL621331396B91,null
84174068,41341976,The Network Chef,Handel en bankwezen,NL484003012B95,null
32519989,74515779,The Flying Hippo ,Veeteelt,NL680669349B52,null
44305089,85844438,Frank and Seder,Toerisme,NL391481423B63,null
93965158,96853269,Merry-Go-Round,Toerisme,NL292425953B69,null
86924147,89483205,Maxiserve ,Akker- en tuinbouw,NL952759111B54,null
37416642,97684417,I. Magnin,Visserij,NL196166307B50,null
94036878,26607496,Sound Warehouse,Akker- en tuinbouw,NL229529161B03,null
26995249,77744494,Media Play,Toerisme,NL993279043B06,null
22341720,36267586,La Petite Boulangerie,Visserij,NL571987058B43,null
56830122,66414729,Super Place,Energie,NL757893194B36,null
81568270,41391307,Sam Goody,Industrie,NL464015541B75,null
10412802,62325027,Dee's Drive-In,Handel en bankwezen,NL411783107B64,null
85433962,88452729,Casa Bonita,Visserij,NL644483182B57,null
77424630,16607988,William Wanamaker & Sons,Energie,NL697378174B47,null
14558373,34459983,A. L. Price,Energie,NL943959842B42,null
47307655,57589222,Courtesy Hardware Store,Toerisme,NL462692325B94,null
76174571,39074302,The Lawn Guru,Industrie,NL942556143B58,null
27515822,36662851,Fretter,Veeteelt,NL255524023B03,null
94382671,18224924,Penn Fruit,Veeteelt,NL922278765B87,null
98639309,67106979,AdventureSports!,Visserij,NL496750137B04,null
35683690,85233744,Romp,Visserij,NL316356275B60,null
34980322,25814811, coremaking,Akker- en tuinbouw,NL310989511B80,null
63916362,28883972,Carter's Foods,Akker- en tuinbouw,NL944769420B70,null
36298101,46831091,Blue Boar Cafeterias,Transport,NL335835967B72,null
50330795,82268994,Family Toy,Toerisme,NL566724191B53,null
50082626,24050289,Carrols Restaurant Group,Industrie,NL539696664B15,null
82543135,80481230,Lechters Housewares,Veeteelt,NL689267195B20,null
94478879,32627989,Knox Lumber,Toerisme,NL768877093B52,null
31666975,46284244,Suadela Investment,Toerisme,NL200847923B01,null
98904134,54393590,Rich and Happy,Veeteelt,NL717631580B37,null
53247549,47731052,Franklin Music,Transport,NL746213451B27,null
99534373,37598461,Oklahoma Tire & Supply Company,Toerisme,NL682797996B98,null
77626983,55517907,Carl Durfees,Visserij,NL973371922B34,null
17511205,84442254,Happy Family,Akker- en tuinbouw,NL130019637B38,null
61262724,79848455,Rogersound Labs,Veeteelt,NL892742034B59,null
29336027,40472987, truck,Energie,NL853264800B86,null
58807188,71373738,Cut Rite Lawn Care,Industrie,NL954373546B96,null
11024342,53655022,Just For Feet,Akker- en tuinbouw,NL629642499B33,null
98194914,90718044,Eli Moore Inc,Handel en bankwezen,NL640734029B34,null
44933598,50275586,Magna Solution,Akker- en tuinbouw,NL346227473B72,null
37239353,77982740,Today's Man,Transport,NL178794358B78,null
50420679,75148830,Mr. D's IGA,Energie,NL879804357B62,null
55388605,87709254,Little Folk Shops,Energie,NL364687025B93,null
19075013,18404507,Gold Touch,Energie,NL153417142B11,null
20416731,40314084,A Plus Lawn Care,Transport,NL517746764B04,null
45052542,97748855,Mr. Good Buys,Veeteelt,NL132554722B22,null
15180790,39795923,Parade of Shoes,Veeteelt,NL287135990B71,null
68787951,59640537,Copeland Sports,Akker- en tuinbouw,NL367313849B31,null
99062578,38478922,Ukrop's Super Market,Visserij,NL453771004B11,null
93452325,18077429,Asian Junction,Akker- en tuinbouw,NL207453406B24,null
72176213,98678129, municipal,Energie,NL346028318B81,null
30563329,40485365,Discount Furniture Showcase,Toerisme,NL773127099B97,null
38537427,16973845,Bennett Brothers,Energie,NL839711889B9,null
59495308,22547095,Merrymaking,Visserij,NL533930342B83,null
61354002,68712186,Linens 'n Things,Handel en bankwezen,NL639433062B91,null
88479719,64632914,Webcom Business Services,Industrie,NL124220769B84,null
34441843,85710761,Multicerv,Handel en bankwezen,NL223167512B05,null
37173098,58091273,Gold Medal,Industrie,NL302063674B67,null
61549787,27971173,Checker Auto Parts,Veeteelt,NL900821926B69,null
55651600,71397566,Joshua Doore,Veeteelt,NL297668126B34,null
49593405,18189183,Whitlocks Auto Supply,Toerisme,NL659434650B94,null
38931443,81996003,Noodle Kidoodle,Akker- en tuinbouw,NL576806453B03,null
70956838,76336732,Terra,Veeteelt,NL297984614B31,null
45351121,79444239,Handy Andy Home Improvement Center,Visserij,NL433192576B96,null
63058130,28500455,Record Bar,Veeteelt,NL287224516B94,null
35528586,79136038,Delchamps,Transport,NL495964336B16,null
28117161,45967042,American Appliance,Industrie,NL285350858B11,null
95017343,26417683,First Choice Garden Maintenance,Industrie,NL525949929B70,null
70927856,23548117,Alpha Beta,Veeteelt,NL977986298B63,null
52941954,58545768,Mages,Visserij,NL994124291B59,null
60219623,76547941,Fit Tonic,Visserij,NL116114670B48,null
19968812,26257126,Gamma Grays,Industrie,NL422961420B02,null
60828572,28732171,Skaggs-Alpha Beta,Toerisme,NL432135496B68,null
27949269,58029463,De-Jaiz Mens Clothing,Toerisme,NL281555018B45,null
37439694,12913186,Golden Joy,Akker- en tuinbouw,NL117180602B47,null
88825721,71358982,Platinum Interior Design,Handel en bankwezen,NL424461808B93,null
88207769,82897879,Listen Up,Visserij,NL564829034B06,null
60850042,68084506,Eagle Hardware & Garden,Transport,NL142202225B85,null
79468145,58878880,Omni Source,Veeteelt,NL886063351B11,null
23686462,74976029,Parklane Hosiery,Akker- en tuinbouw,NL627121596B29,null
61660553,53417416,Kohl's Food Stores,Industrie,NL747208554B75,null
31905969,60439250,Price Club,Transport,NL668658597B77,null
90954856,59592959,Matrix Architectural Service ,Veeteelt,NL366186056B68,null
52593133,38320216,Shoe Town,Akker- en tuinbouw,NL207911794B78,null
79235195,18359043,Monit,Veeteelt,NL482788197B76,null
71833839,76505981,Ransohoffs,Toerisme,NL866596321B82,null
43910908,18054470,Friendly Interior Design,Energie,NL427091561B93,null
47650573,82437899,County Seat,Energie,NL393671738B44,null
35139594,78799000,Integra Design,Visserij,NL292972601B69,null
63945108,75976578,Northern Star,Toerisme,NL358369755B38,null
52210441,15172587,Boys Markets,Akker- en tuinbouw,NL933714550B49,null
69516229,24888785,Jackpot Consultant,Handel en bankwezen,NL324441239B88,null
99458653,78416686,Rainbow Life,Industrie,NL829897662B82,null
66079714,14622392,The High Heelers,Industrie,NL360281219B88,null
69290590,11899066,Life Plan Counselling,Energie,NL470476095B73,null
64537715,73360182,Life Map Planners,Industrie,NL839960073B60,null
85260639,84264797,Hamady Bros. Supermarkets,Energie,NL257699730B71,null
63540058,69302053,Cherry & Webb,Energie,NL659888859B50,null
70307695,42310255,Cut Above,Visserij,NL158905708B26,null
88133310,90321423,Eisner Food Stores,Veeteelt,NL463337035B27,null
90188908,99103806,Sports Town USA,Transport,NL209177137B9,null
51142883,72269678,Maxi-Tech,Visserij,NL101637469B40,null
16694045,93988828,Allied City Stores,Energie,NL211272162B28,null
49672222,68719780,Enrich Garden Services,Veeteelt,NL208494219B63,null
18249922,42688165,Pay 'N Pak,Akker- en tuinbouw,NL862038840B31,null
41039614,40991300,Johnson's General Stores,Toerisme,NL235732985B46,null
40271215,73720431,Mikro Designs,Industrie,NL963527109B77,null
20850314,63008612,Purity,Energie,NL964988120B64,null
15033121,63879385,York Steak House,Visserij,NL947671799B43,null
91069129,91771752,Eden Lawn Service,Transport,NL243989560B76,null
81706724,70918579, storage,Veeteelt,NL111460157B73,null
93857064,28116496,Witmark,Transport,NL371981429B51,null
33465816,73475929,Megatronic,Industrie,NL517317275B98,null
66997393,66503067,Hill-Behan,Veeteelt,NL955657719B35,null
81719118,56956337,The Great Train Stores,Akker- en tuinbouw,NL750396739B06,null
17765813,11114809,McDade's,Visserij,NL269598435B90,null
93221139,64136766,Leonard Krower & Sons,Toerisme,NL682748851B64,null
92463482,22009861,All Wound Up,Energie,NL909856099B65,null
51576906,64193489,Vinyl Fever,Visserij,NL346067127B98,null
68272508,29720244,Prospa-Pal,Akker- en tuinbouw,NL923647485B92,null
45002324,17253640,Tee Town,Visserij,NL689555403B63,null
59387608,21669661,Envirotecture Design,Veeteelt,NL960606765B44,null
55327011,25759127,Morville,Visserij,NL207562522B47,null
31852172,87516810,Universo Realtors,Energie,NL107715883B62,null
53651349,24811370,Ruehl No. 925,Veeteelt,NL311455300B12,null
32996993,24983581,ManPower,Energie,NL199313741B66,null
98418148,23875827,Sports Unlimited,Handel en bankwezen,NL797945948B80,null
29596749,59721397,Modern Realty,Handel en bankwezen,NL592060242B42,null
49041937,57598079, conservation,Transport,NL587200210B07,null
33722991,28394979,Beatties,Veeteelt,NL643131795B30,null
29364725,43707481,Corinthian Designs,Industrie,NL355690680B46,null
68876825,90597949,Terra Nova Garden Services,Transport,NL924888740B57,null
44045671,72643272,Giant,Industrie,NL173687727B52,null
65202019,67721285,The Happy Bear,Akker- en tuinbouw,NL341261426B52,null
57900714,74132606,Pioneer Chicken,Handel en bankwezen,NL379041681B90,null
19638571,43244888,Ole's,Akker- en tuinbouw,NL342234344B79,null
49983983,81741840,Canal Villere,Toerisme,NL478669377B68,null
45698353,94117705,Piccolo Mondo,Veeteelt,NL933645482B29,null
37544388,50441780, recruitment,Visserij,NL741489049B74,null
51248971,62039639,Frank's Nursery & Crafts,Visserij,NL622287062B41,null
30496859,94206447,Crazy Eddie,Veeteelt,NL561781833B99,null
87971462,52936431,Strongbod,Visserij,NL677194170B49,null
12448051,21201097,Sanitary Grocery Stores,Transport,NL617325042B25,null
98099547,28340500,Builders Emporium,Toerisme,NL847761718B57,null
38961368,65422899,Music Den,Akker- en tuinbouw,NL845307055B44,null
15172582,90992528,The Serendipity Dip,Handel en bankwezen,NL235743464B79,null
62285571,24045935,Pantry Pride,Akker- en tuinbouw,NL890835533B89,null
25054475,22297314,AJ Bayless,Energie,NL600713165B19,null
90681222,11714952,Harold's,Veeteelt,NL641512296B68,null
34383576,64458503, ostomy,Veeteelt,NL384914345B76,null
90995905,66594419,The Wiz,Veeteelt,NL706510884B18,null
62819433,24665878,KB Toys,Handel en bankwezen,NL264366770B60,null
97377300,65313739,Gov Mart,Toerisme,NL308671799B47,null
32785434,68869893,Flexus,Transport,NL405538763B54,null
93760854,37328393,Frame Scene,Transport,NL588228968B48,null
80327969,49940047,Casual Corner,Handel en bankwezen,NL505535096B28,null
23548174,48579623,Channel Home Centers,Handel en bankwezen,NL387641754B61,null
46600581,18516046,Cal Stereo,Transport,NL189665195B88,null
99487578,91615181,Tape World,Akker- en tuinbouw,NL478053716B25,null
75710614,54866559,Smitty's Marketplace,Veeteelt,NL891548470B34,null
68023393,63534743,Steinberg's,Toerisme,NL597562562B99,null
76271976,74127124,Destiny Realty Solutions,Energie,NL469207079B74,null
99989313,13984283,Soft Warehouse,Toerisme,NL856559688B34,null
81137279,97539414,Exact Realty,Visserij,NL407616336B75,null
98866210,97236111,Cuppy's Coffee,Energie,NL112405723B22,null
38205748,73900366,Lechmere,Energie,NL949620686B55,null
97688864,42129583,Complete Tech,Visserij,NL838581188B76,null
69510901,27352691,Weatherill's,Energie,NL942867022B23,null
28741017,77197261,K&G Distributors,Industrie,NL422942038B57,null
63363735,26106325,Total Yard Management,Transport,NL415720117B93,null
71789095,41389369,Big Star Markets,Energie,NL543421423B51,null
52626781,15770776,Mission Realty,Akker- en tuinbouw,NL665633603B53,null
39364684,34499145,Stop N Shop,Akker- en tuinbouw,NL376938844B97,null
62665754,77326626,FamilyMart,Industrie,NL257193133B33,null
25217280,70364850,Home Centers,Handel en bankwezen,NL475052866B48,null
63160282,82640042,Martin's,Handel en bankwezen,NL309055855B16,null
51555234,60210358,Holly Tree Inn,Industrie,NL838660810B60,null
42380190,51716414,Chandler's,Transport,NL786067788B72,null
72287534,44863560,Naugles,Visserij,NL948676381B06,null
35100525,14120804,Montana's Cookhouse,Transport,NL657232128B73,null
36433244,61026996,Zany Brainy,Veeteelt,NL960017313B93,null
18930139,42262631,Madcats Music & Books,Akker- en tuinbouw,NL708753320B05,null
33503532,41013556,10,Transport,NL427260813B96,null
98607428,92749406,Wise Appraisals,Toerisme,NL463657442B14,null
65077956,25705964,Champion Auto,Akker- en tuinbouw,NL121603365B70,null
20612657,87701000,Chase Pitkin,Akker- en tuinbouw,NL388903565B91,null
29643244,21052673,Fayva,Energie,NL124165077B69,null
88196619,97914476,A+ Electronics,Visserij,NL806866313B97,null
99511988,52220828,STM Auto Parts,Veeteelt,NL426869297B35,null
74485097,50806362,Aaronson Furniture,Toerisme,NL653521916B05,null
47532434,71307124,Second Time Around,Transport,NL141193185B49,null
96365932,16736881,Sandy's,Industrie,NL431590873B49,null
43710393,90320552,Sofa Express,Toerisme,NL535871568B49,null
35355756,64131081,Erol's,Akker- en tuinbouw,NL429631270B62,null
30229387,44582558,W. Bell & Co.,Akker- en tuinbouw,NL995074383B95,null
